latitude,longitude,altitude,geometry,@id,historic,memorial,ele,name,name:el,name:en,artist:wikidata,artist_name,material,name:de,name:fr,name:ru,start_date,subject:wikidata,wikidata,wikipedia,artwork_type,description,tourism,inscription,name:es,source,subject:wikipedia,memorial:conflict,artist:wikipedia,wheelchair,artist,name:he,name:pl,name:it,fixme,height,memorial:type,inscription:url,width,addr:city,addr:street,description:el,description:en,man_made,building,colour,artwork_subject,historic:civilization,historic:period
37.9321851,23.6385873,,Point,node/273996995,memorial,Christian_candle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9307109,23.7848077,,Point,node/1171050651,memorial,,730,Μνημείο Μιχαηλίδη,Μνημείο Μιχαηλίδη,Memorial of Michallidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9718203,23.7352429,,Point,node/1635941919,memorial,statue,,Ιωάννης Βαρβάκης,Ιωάννης Βαρβάκης,Ioannis Varvakis,Q666391,Λεωνίδας Δρόσης,marble,Ioannis Varvakis,Ioánnis Varvákis,Иоаннис Варвакис,1889,Q1362704,Q1362704,el:Ιωάννης Βαρβάκης,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9342032,23.650255,,Point,node/1661664595,memorial,yes,,Πυρρίχιο Πέταγμα,,,,Παναγιώτης Τανιμανίδης,steel,,,,,,,,sculpture,Μνημείο γενοκτονίας Ποντίων. Σύνολο από κυλίνδρους ελατηρίων που διαπερνάται απο 17 γλυπτικές συνθέσεις. Στη βάση υπάρχει δίσκος με τα οικωνύμια του Πόντου.,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9399752,23.6494336,,Point,node/1695409430,memorial,,,Ανδριάντας Παλαιών Πατρών Γερμανού,,,,,,,,,,,,,sculpture,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9390069,23.6298514,,Point,node/1695426120,memorial,statue,,Λέων του Πειραιώς,,,,,,,,,,,,,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0028718,23.6633562,,Point,node/1706901929,memorial,,,Μνημείο Αγωνιστών,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.975651,23.7518444,,Point,node/2056353119,memorial,statue,,José Gervasio Artigas,,,,Juan Manuel Blanes,copper,,,,2000,,Q252847,es:José Gervasio Artigas,,,,ΣΤΡΑΤΗΓΟΣ ΧΟΣΕ ΑΡΤΙΓΑΣ 1764 - 1850 ΕΛΕΥΘΕΡΩΤΗΣ ΤΗΣ ΟΥΡΟΥΓΟΥΑΗΣ,José Gervasio Artigas,Observation,,,,,,,,,,,,,,,,,,,,,,,
37.9398129,23.6449414,,Point,node/2107461217,memorial,,,Άγαλμα Αντιπλοιάρχου Παναγιώτη Βλαχάκου,,,,,,,,,,,,,sculpture,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9403013,23.6453553,,Point,node/2107679112,memorial,,,Άγαλμα Ηρώς Π. Κωνσταντοπούλου,,,,,,,,,,Q12877694,,,sculpture,,artwork,,,,el:Ηρώ Κωνσταντοπούλου,,,,,,,,,,,,,,,,,,,,,,
