latitude,longitude,altitude,geometry,@id,tourism,name,name:el,name:en,website,wikidata,wikipedia,alt_name,alt_name:el,alt_name:en,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,description,email,name:es,name:pl,name:pt,opening_hours,phone,source,wheelchair,addr:country,bibliography,contact:phone,contact:website,name:fr,name:zh,note,operator,ticket,transport,description:en,parking,projection_room,souvenir_shop,toilets,access,fee,contact:email,contact:fax,name:de,contact:facebook,start_date,museum,building,name:it,name:ko,name:ru
37.9477041,23.7345297,,Point,node/444368719,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.080685,23.7355646,,Point,node/964641453,museum,Ιστορικό & Λαογραφικό Μουσείο Αχαρνών,Ιστορικό & Λαογραφικό Μουσείο Αχαρνών,Folk Art Museum of Acharnes,http://www.ileamousio.gr/,Q5464412,el:Ιστορικό και Λαογραφικό Μουσείο Αχαρνών,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0750702,23.7396929,,Point,node/964641826,museum,Archeological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.092352,23.8709776,,Point,node/1174611247,museum,Ανοιχτό Μουσείο Λατομείου,Ανοιχτό Μουσείο Λατομείου,Open Quarry Museum,,,,Λατομείο Αλούλα,Λατομείο Αλούλα,Aloula quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9311554,23.7552382,,Point,node/1708207953,museum,Μουσείο Εθνικής Αντίστασης,Μουσείο Εθνικής Αντίστασης,National Resistance Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.025235,23.7867418,,Point,node/2131618195,museum,Καστρίτσειο Μουσείο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0219031,23.768178,,Point,node/2131626015,museum,"Ίδρυμα ""Κωνσταντίνος Γ. Καραμανλής""",,,,Q20750528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9810223,23.7371157,,Point,node/2331153819,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.058012,23.550662,,Point,node/2495120575,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.988769,23.7323306,,Point,node/3005463590,museum,Επιγραφικό μουσείο,Επιγραφικό μουσείο,Epigraphical museum,http://odysseus.culture.gr/h/1/eh151.jsp?obj_id=3348,Q2732854,el:Επιγραφικό μουσείο,,,,Αθήνα,Εθνικό Αρχαιολογικό Μουσείο,1,10682,Τοσίτσα,"The Epigraphical museum exhibits 13536 inscriptions and is the biggest of its kind in the world. It displays collections of inscriptions from different historic periods of Greece, as well as some Latin and Jewish inscriptions.",ema@culture.gr,Museo Epigráfico,Muzeum Epigraficzne,Museu Epigráfico,Tu-Su 08:00-15:00,+30 210 8232950,http://odysseus.culture.gr/h/1/gh155.jsp?obj_id=3348,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9749129,23.7242529,,Point,node/3266233641,museum,Μουσείο Αρχαίας Αγοράς Αθηνών,Μουσείο Αρχαίας Αγοράς Αθηνών,Museum of Ancient Athenian Agora,,,,,,,Αθήνα,Στοά του Αττάλου,24,10555,Αδριανού,,,,Muzeum Starożytnej Agory Ateńskiej,Museu da Ágora,08:00-15:00,,,yes,GR,"Camp II J. McK., The Athenian Agora: Excavations in the Heart of Classical Athens, London 1986 Camp II J. Mck, The Athenian Agora. A guide to the Εxcavation and Μuseum 1990 Camp II J. McK, The Athenian Agora, A Short Guide to the Excavations, Excavation",+30 210 3210185,http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=3290,Musée de l'Agora d'Athènes,古雅典集市博物馆,"Housed in the restored building of the Stoa of Attalos, the exhibition of the Museum contains findings of the American School of Classical Studies in Ancient Agora dating from Neolithic times until the post-Byzantine period and the Ottoman era.",Α' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,4 euro,"Metro (200m from Monastiraki station), Electric Railway (350m from Thisseio station), Bus (150m from Monastiraki station)",,,,,,,,,,,,,,,,,
37.9817823,23.7289548,,Point,node/3279145579,museum,Ιδιωτική Συλλογή Έργων Τέχνης Εθνικής Τραπέζης,,Art Collection of National Bank of Greece,,,,,,,Athens,,86,10232,Aiolou,,,,,,08:30-15:00,+30 210 3341822;+30 210 3341833,http://odysseus.culture.gr/h/1/gh155.jsp?obj_id=3270,no,,,,,,,,,,,The Art Collection of National Bank of Greece Museum includes about 1300 artworks made by great painters and sculptors of the 19th and 20th century.,yes,yes,yes,yes,,,,,,,,,,,,
37.9481619,23.6425872,,Point,node/3422656689,museum,Μουσείο Ηλεκτρικών Σιδηροδρόμων,Μουσείο Ηλεκτρικών Σιδηροδρόμων,Electric Railways Museum,,Q5357472,el:Μουσείο Ηλεκτρικών Σιδηροδρόμων,,,,,,,,,,,,,,Mo-Fr 09:00-14:00,+30 21 44141552,,,,,,http://www.museum-synt-isap.gr,,,,,,,,,,,,permissive,,,,,,,,,,,
37.9332766,23.6844444,,Point,node/3783209910,museum,Πλωτό Ναυτικό Μουσείο Θωρηκτό Γεώργιος Αβέρωφ,Πλωτό Ναυτικό Μουσείο Θωρηκτό Γεώργιος Αβέρωφ,Floating Navy Museum Georgios Averof,,,,,,,,,,,,,,,,,"Mo off; Tu-Fr 09:00-14:00; Sa,Su,PH 10:00-17:00",,,,,,,http://www.averof.mil.gr,,,,,,,,,,,,,yes,,,,,,,,,,
37.9723019,23.7316615,,Point,node/3800579734,museum,Παιδικό Μουσείο Αθηνών,,Hellenic Children's Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9778271,23.7353855,,Point,node/3844131091,museum,Νομισματικό Μουσείο,Νομισματικό Μουσείο,Numismatic Museum,,Q658339,el:Νομισματικό Μουσείο Αθηνών,,,,Αθήνα,Ιλίου Μέλαθρον,12,10671,Ελευθερίου Βενιζέλου,"The Numismatic Museum owns 500.000 acquisitions –mostly coins as well as medals, lead bullae, gems, weights, obeloi and talents- dated from the 14th century BC until today",,,,Museu de Numismática,Tu-Su 09:00-16:00; Mo off; PH off,,http://www.nma.gr,yes,GR,,+30 210 3632057;+30 210 3612834;+30 210 3612872,,,,,Stavros Niarchos Foundation,,,,,,,,,yes,epnom@culture.gr,+30 210 3635953,Numismatisches Museum,,,,,,,
37.9782437,23.713629,,Point,node/3912027436,museum,Βιομηχανικό Μουσείο Φωταερίου,,Industrial Gas Museum,,,,,,,Γκάζι,,100,118 54,Πειραιώς,,,,,Tecnopolis,Tu-Su 10:00-18:00,,,,,,+302103461589,http://www.technopolis-athens.com/,,,,,,,,,,,,,,,,,,,,,,,
37.9733731,23.7257842,,Point,node/3960520131,museum,Εκθεση Άνθρωποι και Εργαλεία,,Man and Tools Exhibition,http://www.melt.gr/en/visit/the-museum-at-22-panos-str/,,,,,,Αθήνα,,22,,Πανός,,,,,Museu de Arte Popular Grega,Mo-Sa 08:00-15:00; Tu off,,,,,,,,,,,YΠΠΟΑ,,,,,,,,,,,,,,,,,,,
37.945302,23.6468125,,Point,node/3962479953,museum,Δημοτική Πινακοθήκη Πειραιά,Δημοτική Πινακοθήκη Πειραιά,Municipal Gallery of Piraeus,,Q12876094,el:Δημοτική Πινακοθήκη Πειραιά,,,,Πειραιάς,,29,185 35,Φίλωνος,"Operating from 1957, exposes works of modern Greek painters and after systematic study, documentation and at regular intervals will be posting newer artists, mainly of Piraeus. Also exposed a part of the collection of C. Kastrioti sculptures",,,,,"Tu-Fr 09:00-14:00,17:00-20:00; Sa-Su 10:00-15:00",,http://is.gd/MCgrv8,no,GR,,+30 210 4101402,,,,"distinct node for the Gallery as there are different start_date, purpose and other details, which are not shared with the old post office building, on which is now hosted.",,,,,,,,,,,pinakothiki@pireasnet.gr,,,https://www.facebook.com/dimotikipinakothikipireas,1957,,,,,
37.974961,23.7195576,,Point,node/4262198430,museum,Μουσείο Ηρακλειδών (Παράρτημα),,Herakleidon Museum (Annex),http://herakleidon-art.gr,,,,,,Αθήνα,,37,11851,Αποστόλου Παύλου,,,,,Museu Herakleidon (Anexo),We-Su 10:00-18:00,+30 21 03461981,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9661304,23.734421,,Point,node/4568351771,museum,Μουσείο Γλυπτών & Ομοιωμάτων,,Museum Sculptures and Effigies,,,,,,,Αθήνα,,2,11636,Τιμολέοντος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0047308,23.7559528,,Point,node/4773049839,museum,,Πάρκο Ελευθερίας,"Athens Municipality Arts Center, Parko Eleftherias",,,,,,,,,,,,,,,,,,,,,,,,,"Athens Municipality Arts Center, Parko Eleftherias",,,,,,,,,,,,,,,,,,,,,,
38.0017236,23.7304793,,Point,node/4773051728,museum,Διατηρητέο Σταυροπούλου 15,,,,,,,,,,,,,,,,,,,,,,,,,,,Stavropolou 15,,,,,,,,,,,,,,,,,,,,,,
37.9352737,23.7160998,,Point,node/4785564674,museum,Επιτροπή Ποντιακών Μελετών,,,http://epm.gr,,,,,,Νέα Σμύρνη,,73,17123,Αγνώστων Μαρτύρων,"Η Επιτροπή Ποντιακών Μελετών είναι σωματείο επιστημονικό, μη κερδοσκοπικού χαρακτήρα, ιδρύθηκε το 1927 στην Αθήνα. Η Βιβλιοθήκη λειτουργεί από το 1990, περιλαμβάνει 5.000 τίτλους περίπου και συνεχώς ανανεώνεται.",info@epm.gr,,,,Mo-Fr 10:00-16:00,+30 210 9354333,,,,,,,,,,Filippos,,,,,,,,,,,,,,,,,,,
37.9944547,23.7072931,,Point,node/4840589548,museum,Ψηφιακό Μουσείο της Ακαδημίας Πλάτωνος,,,http://www.plato-academy.gr/museum,Q25535844,el:Ψηφιακό Μουσείο της Ακαδημίας Πλάτωνος,,,,,,,,,,,,,,Tu-Su 09:00-16:00; PH off,+30 2105142138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9846553,23.7199771,,Point,node/4970330021,museum,,,The Breeders Gallery,,,,,,,,,45,,Ιάσονος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.122087,23.9467187,,Point,node/5241071789,museum,Αρχαιολογικό Μουσείο Μαραθώνα,,,,,,,,,,,,,,,,,,Museu Arqueológico de Maratona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9678302,23.7420512,,Point,node/5892784116,museum,,,Olympic Torches and Posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9791972,23.7199431,,Point,node/5980812063,museum,Μουσείο Μακρονήσου,,Makronisos Museum,http://www.pekam.org.gr/mouseio-makronhsou.html,,,,,,Αθήνα,,31,10553,Αγίων Ασωμάτων,,,,,,Tu-Fr 10:00-13:00; Sa-Su 11:00-14:00,2103247820,,,,,,,,,,Π.Ε.Κ.Α.Μ,,,,,,,,,,,,,,,,,,,
37.9791613,23.7198519,,Point,node/5980812064,museum,Μουσείο Πολιτικών Εξορίστων Άη Στράτη,,,,,,,,,Αθήνα,,31,,Αγίων Ασωμάτων,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9847149,23.7257615,,Point,node/5984988434,museum,Μουσείο Παξινού-Μινωτή,,,,,,,,,,,,,,,,,,,"""on appointment""",+30 21 05221420,,,,,,,,,,ΜΙΕΤ,,,,,,,,,,,,,,,,,,,
37.9768199,23.7227625,,Point,node/6534260972,museum,Μουσείο των ψευδαισθήσεων,,Museum of Illusions,,,,,,,Αθήνα,,12,10555,Άστιγγος,,,,,,10:00-22:00,,,,,,+302103639627,https://museumofillusions.gr,,,,,,,,,,,,,,,,,,,,,,,
