latitude,longitude,altitude,geometry,@id,amenity,denomination,name,religion,name:de,name:en,name:pl,name:ru,wheelchair,wikidata,wikipedia,historic,tourism,note,name:el,source,building,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,survey:date,addr:country,short_name,official_name,operator,description,level,phone,alt_name,start_date,opening_hours,website
37.9714374,23.6572284,,Point,node/393779230,place_of_worship,pentecostal,Agios Polonios,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0477868,23.5347328,,Point,node/608928733,place_of_worship,greek_orthodox,Αγιος Κωνσταντίνος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0087713,23.7147367,,Point,node/630934739,place_of_worship,greek_orthodox,Άγιοι Ταξιάρχες,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1441418,23.9819365,,Point,node/691523128,place_of_worship,greek_orthodox,Αγιος Γεώργιος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9819334,23.7433907,,Point,node/778661727,place_of_worship,greek_orthodox,Άγιος Γεώργιος,christian,Kapelle St. Georg,Chapel of St. George,Kościół św. Jerzego,Церковь Св. Георгия,no,Q12872113,el:Άγιος Γεώργιος (Λυκαβηττού),,,,,,,,,,,,,,,,,,,,,,,
37.9924059,23.7922571,,Point,node/814768319,place_of_worship,greek_orthodox,Αγία Σκέπη,christian,,Agia Skepi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9651936,23.9090037,,Point,node/836405582,place_of_worship,greek_orthodox,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0907436,23.7861761,,Point,node/1070831494,place_of_worship,greek_orthodox,Παναγία Χελιδονούς,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9916644,23.6532722,,Point,node/1150727470,place_of_worship,greek_orthodox,Άγιοι Πάντες,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1560476,23.7204141,,Point,node/1165777067,place_of_worship,,Αγία Τριάδα,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1370372,23.7345634,,Point,node/1165778236,place_of_worship,,Άγιος Νικόλαος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1372455,23.6923174,,Point,node/1165779295,place_of_worship,,Άγιος Γεώργιος,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1117841,23.7029807,,Point,node/1166228134,place_of_worship,,Dardizas M.,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
